source_file,account_path,name,enabled,type,action,target_folder,condition,conditions_count,fields,operators
C:\Users\gines\AppData\Roaming\Thunderbird\Profiles\i2blparj.default\Mail\mail.gira.net\msgFilterRules.dat,Mail/mail.gira.net,Remitente es: administracion@rolmovil.net,yes,17,Move to folder,POOL LINE,"OR (from,is,administracion@rolmovil.net) OR (from,is,pedidos@pool-line.com) OR (from,ends with,@pool-line.com)",3,from,ends with;is
C:\Users\gines\AppData\Roaming\Thunderbird\Profiles\i2blparj.default\Mail\mail.gira.net\msgFilterRules.dat,Mail/mail.gira.net,Remitente es: admin@toprecambios.com,yes,17,Move to folder,TOP RECAMBIOS,"AND (from,is,admin@toprecambios.com)",1,from,is
C:\Users\gines\AppData\Roaming\Thunderbird\Profiles\i2blparj.default\Mail\mail.gira.net\msgFilterRules.dat,Mail/mail.gira.net,Remitente es: talleres.automecanica-albox@rediveco.com,yes,17,Move to folder,AUTOMECANICA ALBOX TURISMO,"AND (from,is,talleres.automecanica-albox@rediveco.com)",1,from,is
C:\Users\gines\AppData\Roaming\Thunderbird\Profiles\i2blparj.default\Mail\mail.gira.net\msgFilterRules.dat,Mail/mail.gira.net,Remitente es: pedidos2@toprecambios.com,yes,17,Move to folder,TOP RECAMBIOS,"AND (from,is,pedidos2@toprecambios.com)",1,from,is
C:\Users\gines\AppData\Roaming\Thunderbird\Profiles\i2blparj.default\Mail\mail.gira.net\msgFilterRules.dat,Mail/mail.gira.net,Remitente es: infoenvios@mail.seur.info,yes,17,Move to folder,SEUR,"AND (from,is,infoenvios@mail.seur.info)",1,from,is
C:\Users\gines\AppData\Roaming\Thunderbird\Profiles\i2blparj.default\Mail\mail.gira.net\msgFilterRules.dat,Mail/mail.gira.net,Remitente es: almacenlucena@gmail.com,yes,337,Move to folder,NEUMATICOS LUCENA,"OR (from,is,almacenlucena@gmail.com) OR (from,is,administracion@neumaticoslucena.com) OR (from,is,neumaticoslucenasl@gmail.com) OR (from,ends with,@neumaticoslucena.com)",4,from,ends with;is
C:\Users\gines\AppData\Roaming\Thunderbird\Profiles\i2blparj.default\Mail\mail.gira.net\msgFilterRules.dat,Mail/mail.gira.net,Remitente es: marta.buceta@contitech.es,yes,337,Move to folder,CONTINENTAL CORREAS,"OR (from,is,marta.buceta@contitech.es) OR (from,ends with,@contitech.es)",2,from,ends with;is
C:\Users\gines\AppData\Roaming\Thunderbird\Profiles\i2blparj.default\Mail\mail.gira.net\msgFilterRules.dat,Mail/mail.gira.net,Remitente es: gachino@algogroup.net,yes,273,Move to folder,ALGO GROUP,"OR (from,is,gachino@algogroup.net) OR (from,ends with,@algogroup.net)",2,from,ends with;is
C:\Users\gines\AppData\Roaming\Thunderbird\Profiles\i2blparj.default\Mail\mail.gira.net\msgFilterRules.dat,Mail/mail.gira.net,Remitente contiene: @asysum.com,yes,17,Move to folder,ASYSUM,"AND (from,contains,@asysum.com)",1,from,contains
C:\Users\gines\AppData\Roaming\Thunderbird\Profiles\i2blparj.default\Mail\mail.gira.net\msgFilterRules.dat,Mail/mail.gira.net,Remitente contiene: facturacion@serca.es,yes,273,Move to folder,SERCA FACTURACION,"OR (from,contains,facturacion@serca.es) OR (from,contains,eduard.calpe@serca.es) OR (from,contains,proveedores@serca.es) OR (from,contains,sergio.gonzalez@serca.es) OR (subject,contains,VETURILO)",5,from;subject,contains
C:\Users\gines\AppData\Roaming\Thunderbird\Profiles\i2blparj.default\Mail\mail.gira.net\msgFilterRules.dat,Mail/mail.gira.net,Remitente es: facturas@toprecambios.com,yes,17,Move to folder,TOP RECAMBIOS,"AND (from,is,facturas@toprecambios.com)",1,from,is
C:\Users\gines\AppData\Roaming\Thunderbird\Profiles\i2blparj.default\Mail\mail.gira.net\msgFilterRules.dat,Mail/mail.gira.net,Remitente es: facturacion@toprecambios.com,yes,273,Move to folder,TOP RECAMBIOS,"OR (from,is,facturacion@toprecambios.com) OR (from,contains,facturas@toprecambios.es)",2,from,contains;is
C:\Users\gines\AppData\Roaming\Thunderbird\Profiles\i2blparj.default\Mail\mail.gira.net\msgFilterRules.dat,Mail/mail.gira.net,Remitente es: atencionalcliente@pulpiautomocion.com,yes,17,Move to folder,PULPI AUTOMOCION,"AND (from,is,atencionalcliente@pulpiautomocion.com)",1,from,is
C:\Users\gines\AppData\Roaming\Thunderbird\Profiles\i2blparj.default\Mail\mail.gira.net\msgFilterRules.dat,Mail/mail.gira.net,Remitente es: harrywalker@harrywalker.net,yes,17,Move to folder,HARRY WALKER RODAMIENTOS,"AND (from,is,harrywalker@harrywalker.net)",1,from,is
C:\Users\gines\AppData\Roaming\Thunderbird\Profiles\i2blparj.default\Mail\mail.gira.net\msgFilterRules.dat,Mail/mail.gira.net,Remitente es: adm.spj@spj.es,yes,17,Move to folder,SPJ0f44851e,"AND (from,is,adm.spj@spj.es)",1,from,is
C:\Users\gines\AppData\Roaming\Thunderbird\Profiles\i2blparj.default\Mail\mail.gira.net\msgFilterRules.dat,Mail/mail.gira.net,Remitente termina con: @htlubricantoils.com,yes,17,Move to folder,HTLO LUBRICANTES,"AND (from,ends with,@htlubricantoils.com)",1,from,ends with
C:\Users\gines\AppData\Roaming\Thunderbird\Profiles\i2blparj.default\Mail\mail.gira.net\msgFilterRules.dat,Mail/mail.gira.net,Remitente es: facturacionferrevera@gmail.com,yes,17,Move to folder,FERREVERA,"AND (from,is,facturacionferrevera@gmail.com)",1,from,is
C:\Users\gines\AppData\Roaming\Thunderbird\Profiles\i2blparj.default\Mail\mail.gira.net\msgFilterRules.dat,Mail/mail.gira.net,Remitente es: administracion@rztools.com,yes,17,Move to folder,RZTOOLS,"AND (from,is,administracion@rztools.com)",1,from,is
C:\Users\gines\AppData\Roaming\Thunderbird\Profiles\i2blparj.default\Mail\mail.gira.net\msgFilterRules.dat,Mail/mail.gira.net,Remitente es: facturacion.almeria@seur.net,yes,17,Move to folder,SEUR,"AND (from,is,facturacion.almeria@seur.net)",1,from,is
C:\Users\gines\AppData\Roaming\Thunderbird\Profiles\i2blparj.default\Mail\mail.gira.net\msgFilterRules.dat,Mail/mail.gira.net,Remitente es: erp@cecauto.com,yes,17,Move to folder,CECAUTO,"AND (from,is,erp@cecauto.com)",1,from,is
C:\Users\gines\AppData\Roaming\Thunderbird\Profiles\i2blparj.default\Mail\mail.gira.net\msgFilterRules.dat,Mail/mail.gira.net,Remitente es: elisa.franceschini@airtopitalia.eu,yes,17,Move to folder,AIRTOP ITALIA,"AND (from,is,elisa.franceschini@airtopitalia.eu)",1,from,is
C:\Users\gines\AppData\Roaming\Thunderbird\Profiles\i2blparj.default\Mail\mail.gira.net\msgFilterRules.dat,Mail/mail.gira.net,Remitente es: es.prometeon.i.sdd@prometeon.com,yes,17,Move to folder,PROMETEON,"AND (from,ends with,@prometeon.com)",1,from,ends with
C:\Users\gines\AppData\Roaming\Thunderbird\Profiles\i2blparj.default\Mail\mail.gira.net\msgFilterRules.dat,Mail/mail.gira.net,Remitente termina con: @ams-osram.com,yes,273,Move to folder,OSRAM,"OR (from,ends with,@ams-osram.com) OR (from,ends with,@osram.com)",2,from,ends with
C:\Users\gines\AppData\Roaming\Thunderbird\Profiles\i2blparj.default\Mail\mail.gira.net\msgFilterRules.dat,Mail/mail.gira.net,Remitente es: sonia@amolux.net,yes,17,Move to folder,AMOLUX,"AND (from,is,sonia@amolux.net)",1,from,is
C:\Users\gines\AppData\Roaming\Thunderbird\Profiles\i2blparj.default\Mail\mail.gira.net\msgFilterRules.dat,Mail/mail.gira.net,Remitente es: nissens@nissens.com,yes,17,Move to folder,NISSENS,"AND (from,is,nissens@nissens.com)",1,from,is
C:\Users\gines\AppData\Roaming\Thunderbird\Profiles\i2blparj.default\Mail\mail.gira.net\msgFilterRules.dat,Mail/mail.gira.net,Remitente contiene: @danazaragoza.com,yes,273,Move to folder,DANA AUTOMOCION,"OR (from,is,facturacion@danazaragoza.com) OR (from,ends with,@dana.com)",2,from,ends with;is
C:\Users\gines\AppData\Roaming\Thunderbird\Profiles\i2blparj.default\Mail\mail.gira.net\msgFilterRules.dat,Mail/mail.gira.net,Remitente es: Facturacion@barralauto.com,yes,273,Move to folder,BARRAL AUTO,"OR (from,is,Facturacion@barralauto.com) OR (subject,contains,barral auto) OR (from,contains,barral auto)",3,from;subject,contains;is
C:\Users\gines\AppData\Roaming\Thunderbird\Profiles\i2blparj.default\Mail\mail.gira.net\msgFilterRules.dat,Mail/mail.gira.net,Remitente termina con: @as-sl.com,yes,17,Move to folder,AS,"AND (from,ends with,@as-sl.com)",1,from,ends with
C:\Users\gines\AppData\Roaming\Thunderbird\Profiles\i2blparj.default\Mail\mail.gira.net\msgFilterRules.dat,Mail/mail.gira.net,Remitente es: sash@lubricantes-sash.com,yes,17,Move to folder,ACEITES Y LUBRICANTES SASH,"AND (from,ends with,@lubricantes-sash.com)",1,from,ends with
C:\Users\gines\AppData\Roaming\Thunderbird\Profiles\i2blparj.default\Mail\mail.gira.net\msgFilterRules.dat,Mail/mail.gira.net,Remitente es: facturacion@alcaner.com,yes,17,Move to folder,ALCANER 2000,"AND (from,is,facturacion@alcaner.com)",1,from,is
C:\Users\gines\AppData\Roaming\Thunderbird\Profiles\i2blparj.default\Mail\mail.gira.net\msgFilterRules.dat,Mail/mail.gira.net,Remitente es: javi@liv-indurain.com,yes,17,Move to folder,PRODUCTOS LIV610ec48b,"AND (from,ends with,@liv-indurain.com)",1,from,ends with
C:\Users\gines\AppData\Roaming\Thunderbird\Profiles\i2blparj.default\Mail\mail.gira.net\msgFilterRules.dat,Mail/mail.gira.net,Remitente es: noreply@nex.es,yes,17,Move to folder,NEX TYRES,"AND (from,is,noreply@nex.es)",1,from,is
C:\Users\gines\AppData\Roaming\Thunderbird\Profiles\i2blparj.default\Mail\mail.gira.net\msgFilterRules.dat,Mail/mail.gira.net,Remitente es: grupo@holyauto.com,yes,17,Move to folder,HOLY AUTO,"AND (from,is,grupo@holyauto.com)",1,from,is
C:\Users\gines\AppData\Roaming\Thunderbird\Profiles\i2blparj.default\Mail\mail.gira.net\msgFilterRules.dat,Mail/mail.gira.net,Remitente es: m.gonzalez@eaclima.es,yes,17,Move to folder,EACLIMA,"AND (from,is,m.gonzalez@eaclima.es)",1,from,is
C:\Users\gines\AppData\Roaming\Thunderbird\Profiles\i2blparj.default\Mail\mail.gira.net\msgFilterRules.dat,Mail/mail.gira.net,Remitente es: ecommerce2.aarm@dk.bosch.com,yes,17,Move to folder,HC-CARGO,"AND (from,is,ecommerce2.aarm@dk.bosch.com)",1,from,is
C:\Users\gines\AppData\Roaming\Thunderbird\Profiles\i2blparj.default\Mail\mail.gira.net\msgFilterRules.dat,Mail/mail.gira.net,Remitente es: mailer_sap@ajusa.es,yes,17,Move to folder,AJUSA,"AND (from,is,mailer_sap@ajusa.es)",1,from,is
C:\Users\gines\AppData\Roaming\Thunderbird\Profiles\i2blparj.default\Mail\mail.gira.net\msgFilterRules.dat,Mail/mail.gira.net,Remitente contiene: totalenergies,yes,273,Move to folder,TOTAL,"AND (from,contains,totalenergies)",1,from,contains
C:\Users\gines\AppData\Roaming\Thunderbird\Profiles\i2blparj.default\Mail\mail.gira.net\msgFilterRules.dat,Mail/mail.gira.net,Remitente es: goyra@ofiexperts.es,yes,17,Move to folder,GOYRA,"OR (from,is,goyra@ofiexperts.es) OR (from,is,goyraofii@gmail.com)",2,from,is
C:\Users\gines\AppData\Roaming\Thunderbird\Profiles\i2blparj.default\Mail\mail.gira.net\msgFilterRules.dat,Mail/mail.gira.net,Remitente es: lucia@ceapi.es,yes,17,Move to folder,CEAPI,"AND (from,is,lucia@ceapi.es)",1,from,is
C:\Users\gines\AppData\Roaming\Thunderbird\Profiles\i2blparj.default\Mail\mail.gira.net\msgFilterRules.dat,Mail/mail.gira.net,Remitente es: atencionalcliente@ita-rotomatic.com,yes,17,Move to folder,ITA-ROTOMATIC,"OR (from,is,atencionalcliente@ita-rotomatic.com) OR (from,ends with,ita-rotomatic.com) OR (from,ends with,oficinaitarotomatic@gmail.com)",3,from,ends with;is
C:\Users\gines\AppData\Roaming\Thunderbird\Profiles\i2blparj.default\Mail\mail.gira.net\msgFilterRules.dat,Mail/mail.gira.net,Remitente es: administracion@amosan.es,yes,17,Move to folder,AMOSAN,"AND (from,is,administracion@amosan.es)",1,from,is
C:\Users\gines\AppData\Roaming\Thunderbird\Profiles\i2blparj.default\Mail\mail.gira.net\msgFilterRules.dat,Mail/mail.gira.net,Remitente es: admin@msmc.es,yes,17,Move to folder,MSMC4f5fc55b,"AND (from,is,admin@msmc.es)",1,from,is
C:\Users\gines\AppData\Roaming\Thunderbird\Profiles\i2blparj.default\Mail\mail.gira.net\msgFilterRules.dat,Mail/mail.gira.net,Remitente es: facturacioncartes@grupocartes.es,yes,17,Move to folder,FILTROS CARTES,"AND (from,is,facturacioncartes@grupocartes.es)",1,from,is
C:\Users\gines\AppData\Roaming\Thunderbird\Profiles\i2blparj.default\Mail\mail.gira.net\msgFilterRules.dat,Mail/mail.gira.net,Remitente es: contabilidad@pemebla.com,yes,17,Move to folder,PEMEBLA,"AND (from,is,contabilidad@pemebla.com)",1,from,is
C:\Users\gines\AppData\Roaming\Thunderbird\Profiles\i2blparj.default\Mail\mail.gira.net\msgFilterRules.dat,Mail/mail.gira.net,Remitente es: efactura@exclusivasbcn.com,yes,17,Move to folder,EXCLUSIVAS BCN,"AND (from,is,efactura@exclusivasbcn.com)",1,from,is
C:\Users\gines\AppData\Roaming\Thunderbird\Profiles\i2blparj.default\Mail\mail.gira.net\msgFilterRules.dat,Mail/mail.gira.net,Remitente es: BremboDispatcher@DISC.it,yes,17,Move to folder,BREMBO,"AND (from,is,BremboDispatcher@DISC.it)",1,from,is
C:\Users\gines\AppData\Roaming\Thunderbird\Profiles\i2blparj.default\Mail\mail.gira.net\msgFilterRules.dat,Mail/mail.gira.net,Remitente es: marta@exclusivasbcn.com,yes,337,Move to folder,EXCLUSIVAS BCN,"AND (from,is,marta@exclusivasbcn.com)",1,from,is
C:\Users\gines\AppData\Roaming\Thunderbird\Profiles\i2blparj.default\Mail\mail.gira.net\msgFilterRules.dat,Mail/mail.gira.net,Remitente es: administracio@jbmcamp.com,yes,17,Move to folder,JBM,"AND (from,is,administracio@jbmcamp.com)",1,from,is
C:\Users\gines\AppData\Roaming\Thunderbird\Profiles\i2blparj.default\Mail\mail.gira.net\msgFilterRules.dat,Mail/mail.gira.net,Remitente es: contabilidad@fare-auto.com,yes,337,Move to folder,FARE,"AND (from,is,contabilidad@fare-auto.com)",1,from,is
C:\Users\gines\AppData\Roaming\Thunderbird\Profiles\i2blparj.default\Mail\mail.gira.net\msgFilterRules.dat,Mail/mail.gira.net,Remitente es: pedidos@acps-automotive.com,yes,17,Move to folder,ACPS AUTOMOTIVE,"OR (from,is,pedidos@acps-automotive.com) OR (from,is,javier.lorenzo@acps-automotive.com) OR (from,ends with,@acps-automotive.com)",3,from,ends with;is
C:\Users\gines\AppData\Roaming\Thunderbird\Profiles\i2blparj.default\Mail\mail.gira.net\msgFilterRules.dat,Mail/mail.gira.net,Remitente es: optimal@optimal-spain.com,yes,337,Move to folder,OPTIMAL,"OR (from,is,optimal@optimal-spain.com) OR (from,is,xavi@optimal-spain.com) OR (from,ends with,@optimal-spain.com)",3,from,ends with;is
C:\Users\gines\AppData\Roaming\Thunderbird\Profiles\i2blparj.default\Mail\mail.gira.net\msgFilterRules.dat,Mail/mail.gira.net,Remitente es: r.delgado@kyb-europe.com,yes,17,Move to folder,KYB,"AND (from,is,r.delgado@kyb-europe.com)",1,from,is
C:\Users\gines\AppData\Roaming\Thunderbird\Profiles\i2blparj.default\Mail\mail.gira.net\msgFilterRules.dat,Mail/mail.gira.net,Remitente es: m.gonzalez@teasa.net,yes,337,Move to folder,EACLIMA,"AND (from,is,m.gonzalez@teasa.net)",1,from,is
C:\Users\gines\AppData\Roaming\Thunderbird\Profiles\i2blparj.default\Mail\mail.gira.net\msgFilterRules.dat,Mail/mail.gira.net,Remitente es: tallerbayra@gmail.com,yes,337,Move to folder,TALLERES BAYRA,"AND (from,is,tallerbayra@gmail.com)",1,from,is
C:\Users\gines\AppData\Roaming\Thunderbird\Profiles\i2blparj.default\Mail\mail.gira.net\msgFilterRules.dat,Mail/mail.gira.net,Remitente es: administracion@recambiosjesus.com,yes,337,Move to folder,RECAMBIOS JESUS,"OR (from,is,administracion@recambiosjesus.com) OR (from,ends with,@recambiosjesus.com) OR (from,is,facturacion@recambiosjesus.com)",3,from,ends with;is
C:\Users\gines\AppData\Roaming\Thunderbird\Profiles\i2blparj.default\Mail\mail.gira.net\msgFilterRules.dat,Mail/mail.gira.net,Remitente es: albox@chemaneumaticos.es,yes,337,Move to folder,CHEMA NEUMATICOS,"AND (from,is,albox@chemaneumaticos.es)",1,from,is
C:\Users\gines\AppData\Roaming\Thunderbird\Profiles\i2blparj.default\Mail\mail.gira.net\msgFilterRules.dat,Mail/mail.gira.net,Remitente es: ita-rotomatic@cecot.es,yes,273,Move to folder,ITA-ROTOMATIC,"AND (from,is,ita-rotomatic@cecot.es)",1,from,is
C:\Users\gines\AppData\Roaming\Thunderbird\Profiles\i2blparj.default\Mail\mail.gira.net\msgFilterRules.dat,Mail/mail.gira.net,Remitente termina con: @mahle.com,yes,337,Move to folder,MAHLE,"OR (from,ends with,@mahle.com) OR (subject,contains,MAHLE Aftermarket S.L.U)",2,from;subject,contains;ends with
C:\Users\gines\AppData\Roaming\Thunderbird\Profiles\i2blparj.default\Mail\mail.gira.net\msgFilterRules.dat,Mail/mail.gira.net,Remitente contiene: ICR-reporting@ppg.com,yes,273,Move to folder,ICR IBERICA,"OR (from,contains,ICR-reporting@ppg.com) OR (subject,contains,ICR IBERICA)",2,from;subject,contains
C:\Users\gines\AppData\Roaming\Thunderbird\Profiles\i2blparj.default\Mail\mail.gira.net\msgFilterRules.dat,Mail/mail.gira.net,Asunto contiene: anydesk,yes,273,Move to folder,ANYDESK,"OR (subject,contains,anydesk) OR (from,contains,support@anydesk.com)",2,from;subject,contains
C:\Users\gines\AppData\Roaming\Thunderbird\Profiles\i2blparj.default\Mail\mail.gira.net\msgFilterRules.dat,Mail/mail.gira.net,Remitente es: factura@cevamiberica.com,yes,273,Move to folder,CEVAM,"OR (from,is,factura@cevamiberica.com) OR (all addresses,contains,ramon.hernandez.cevamiberica.com) OR (from,is,almacen@cevamiberica.com) OR (from,contains,@cevamiberica.com) OR (from,ends with,@cevam.com)",5,all addresses;from,contains;ends with;is
C:\Users\gines\AppData\Roaming\Thunderbird\Profiles\i2blparj.default\Mail\mail.gira.net\msgFilterRules.dat,Mail/mail.gira.net,Remitente termina con: @solaufil.com,yes,17,Move to folder,MECAFILTER,"AND (from,ends with,@solaufil.com)",1,from,ends with
C:\Users\gines\AppData\Roaming\Thunderbird\Profiles\i2blparj.default\Mail\mail.gira.net\msgFilterRules.dat,Mail/mail.gira.net,Remitente es: pmancebo@gira.net,yes,17,Move to folder,GIRA,"AND (from,is,pmancebo@gira.net)",1,from,is
C:\Users\gines\AppData\Roaming\Thunderbird\Profiles\i2blparj.default\Mail\mail.gira.net\msgFilterRules.dat,Mail/mail.gira.net,Remitente es: vs-madrid-pedidos@valeo.com,yes,17,Move to folder,VALEO,"AND (from,is,vs-madrid-pedidos@valeo.com)",1,from,is
C:\Users\gines\AppData\Roaming\Thunderbird\Profiles\i2blparj.default\Mail\mail.gira.net\msgFilterRules.dat,Mail/mail.gira.net,borg & beck,yes,337,Move to folder,BB - BORG & BECK(2),"AND (from,ends with,@borgandbeck.com)",1,from,ends with
C:\Users\gines\AppData\Roaming\Thunderbird\Profiles\i2blparj.default\Mail\mail.gira.net\msgFilterRules.dat,Mail/mail.gira.net,estanfi,yes,337,Move to folder,ESTANFI,"AND (from,is,admin02@estanfi.com)",1,from,is
C:\Users\gines\AppData\Roaming\Thunderbird\Profiles\i2blparj.default\Mail\mail.gira.net\msgFilterRules.dat,Mail/mail.gira.net,Remitente termina con: @filtroscartes.net,yes,337,Move to folder,FILTROS CARTES,"AND (from,ends with,@filtroscartes.net)",1,from,ends with
C:\Users\gines\AppData\Roaming\Thunderbird\Profiles\i2blparj.default\Mail\mail.gira.net\msgFilterRules.dat,Mail/mail.gira.net,Remitente termina con: @esneagri.com,yes,337,Move to folder,ESNEAGRI,"AND (from,ends with,@esneagri.com)",1,from,ends with
C:\Users\gines\AppData\Roaming\Thunderbird\Profiles\i2blparj.default\Mail\mail.gira.net\msgFilterRules.dat,Mail/mail.gira.net,nertor,yes,337,Move to folder,NER-TOR,"AND (from,ends with,@nertor.com)",1,from,ends with
C:\Users\gines\AppData\Roaming\Thunderbird\Profiles\i2blparj.default\Mail\mail.gira.net\msgFilterRules.dat,Mail/mail.gira.net,Remitente es: pedidos@fmg-eu.com,yes,337,Move to folder,RH,"AND (from,is,pedidos@fmg-eu.com)",1,from,is
C:\Users\gines\AppData\Roaming\Thunderbird\Profiles\i2blparj.default\Mail\mail.gira.net\msgFilterRules.dat,Mail/mail.gira.net,Remitente es: mbernal@azurglobal.es,yes,337,Move to folder,AZUR GLOBAL,"AND (from,is,mbernal@azurglobal.es)",1,from,is
C:\Users\gines\AppData\Roaming\Thunderbird\Profiles\i2blparj.default\Mail\mail.gira.net\msgFilterRules.dat,Mail/mail.gira.net,Remitente es: spain@nrf.eu,yes,337,Move to folder,NRF,"AND (from,is,spain@nrf.eu)",1,from,is
C:\Users\gines\AppData\Roaming\Thunderbird\Profiles\i2blparj.default\Mail\mail.gira.net\msgFilterRules.dat,Mail/mail.gira.net,DAISA,yes,337,Move to folder,DAISA - VARTA,"AND (from,ends with,@daisa.es)",1,from,ends with
C:\Users\gines\AppData\Roaming\Thunderbird\Profiles\i2blparj.default\Mail\mail.gira.net\msgFilterRules.dat,Mail/mail.gira.net,FEBEST,yes,337,Move to folder,FEBEST - RUMBO NORTE,"AND (from,ends with,@rumbonorterecambios.com)",1,from,ends with
C:\Users\gines\AppData\Roaming\Thunderbird\Profiles\i2blparj.default\Mail\mail.gira.net\msgFilterRules.dat,Mail/mail.gira.net,CHEMA,yes,321,Move to folder,CHEMA NEUMATICOS,"AND (from,contains,@gruposalasaguila.es)",1,from,contains
C:\Users\gines\AppData\Roaming\Thunderbird\Profiles\i2blparj.default\Mail\mail.gira.net\msgFilterRules.dat,Mail/mail.gira.net,ARVERA,yes,337,Move to folder,ARVERA12ef9588,"OR (from,is,antonioarvera@serca.es) OR (from,is,joseagr80@gmail.com) OR (from,is,castellano@serca.es) OR (from,is,jantonioarvera@serca.es) OR (from,is,cayuela@serca.es)",5,from,is
C:\Users\gines\AppData\Roaming\Thunderbird\Profiles\i2blparj.default\Mail\mail.gira.net\msgFilterRules.dat,Mail/mail.gira.net,EXIDE,yes,321,Move to folder,EXIDE,"AND (from,contains,@exidegroup.com)",1,from,contains
C:\Users\gines\AppData\Roaming\Thunderbird\Profiles\i2blparj.default\Mail\outlook.office365-1.com\msgFilterRules.dat,Mail/outlook.office365-1.com,Remitente es: NIEVES.ESCRIBANO@DRIV.COM,yes,17,Move to folder,FEDERAL MOGUL,"AND (from,is,NIEVES.ESCRIBANO@DRIV.COM)",1,from,is
C:\Users\gines\AppData\Roaming\Thunderbird\Profiles\i2blparj.default\Mail\outlook.office365-1.com\msgFilterRules.dat,Mail/outlook.office365-1.com,Remitente es: ramon.hernandez@cevamiberica.com,yes,17,Move to folder,CEVAM,"AND (from,is,ramon.hernandez@cevamiberica.com)",1,from,is
C:\Users\gines\AppData\Roaming\Thunderbird\Profiles\i2blparj.default\Mail\outlook.office365-1.com\msgFilterRules.dat,Mail/outlook.office365-1.com,CECAUTO,yes,337,Move to folder,CECAUTO,"AND (from,ends with,@cecauto.com)",1,from,ends with
C:\Users\gines\AppData\Roaming\Thunderbird\Profiles\i2blparj.default\Mail\outlook.office365-1.com\msgFilterRules.dat,Mail/outlook.office365-1.com,Remitente es: BremboDispatcher@DISC.it,yes,337,Move to folder,BREMBO,"AND (from,is,BremboDispatcher@DISC.it)",1,from,is
C:\Users\gines\AppData\Roaming\Thunderbird\Profiles\i2blparj.default\Mail\outlook.office365-1.com\msgFilterRules.dat,Mail/outlook.office365-1.com,OPTIMAL,yes,337,Move to folder,OPTIMAL,"AND (from,ends with,@optimal-spain.com)",1,from,ends with
C:\Users\gines\AppData\Roaming\Thunderbird\Profiles\i2blparj.default\Mail\outlook.office365-1.com\msgFilterRules.dat,Mail/outlook.office365-1.com,Remitente termina con: @bilsteingroup.com,yes,337,Move to folder,BLISTEIN - SWAG,"AND (from,ends with,@bilsteingroup.com)",1,from,ends with
C:\Users\gines\AppData\Roaming\Thunderbird\Profiles\i2blparj.default\Mail\outlook.office365-1.com\msgFilterRules.dat,Mail/outlook.office365-1.com,ALFESER,yes,337,Move to folder,ALFESER,"AND (from,ends with,@alfeser.com)",1,from,ends with
C:\Users\gines\AppData\Roaming\Thunderbird\Profiles\i2blparj.default\Mail\outlook.office365-1.com\msgFilterRules.dat,Mail/outlook.office365-1.com,DOSEGUER,yes,337,Move to folder,DOSEGUER,"AND (from,ends with,@doseguer.com)",1,from,ends with
C:\Users\gines\AppData\Roaming\Thunderbird\Profiles\i2blparj.default\Mail\outlook.office365-1.com\msgFilterRules.dat,Mail/outlook.office365-1.com,FEDERAL MOGUL,yes,337,Move to folder,FEDERAL MOGUL,"OR (from,is,saphelpdesk@driv.com) OR (from,is,MIHAELARUXANDRA.LAZAR@DRIV.COM) OR (from,ends with,@driv.com)",3,from,ends with;is
C:\Users\gines\AppData\Roaming\Thunderbird\Profiles\i2blparj.default\Mail\outlook.office365.com\msgFilterRules.dat,Mail/outlook.office365.com,DEPRECATED,yes,1,Reply,Templates,ALL,0,,
C:\Users\gines\AppData\Roaming\Thunderbird\Profiles\i2blparj.default\Mail\pop.serviciodecorreo-1.es\msgFilterRules.dat,Mail/pop.serviciodecorreo-1.es,Remitente contiene: @verasur.es,yes,273,Move to folder,VERASUR,"OR (from,contains,@verasur.es)",1,from,contains
C:\Users\gines\AppData\Roaming\Thunderbird\Profiles\i2blparj.default\Mail\pop.serviciodecorreo-1.es\msgFilterRules.dat,Mail/pop.serviciodecorreo-1.es,Remitente es: administracion@repuestosvicente.es,yes,273,Move to folder,REPUESTOS VICENTE,"OR (from,is,administracion@repuestosvicente.es)",1,from,is
C:\Users\gines\AppData\Roaming\Thunderbird\Profiles\i2blparj.default\Mail\pop.serviciodecorreo-1.es\msgFilterRules.dat,Mail/pop.serviciodecorreo-1.es,Remitente es: interjun@interjun.com,yes,273,Move to folder,INTERNACIONAL DE JUNTAS,"AND (from,is,interjun@interjun.com)",1,from,is
C:\Users\gines\AppData\Roaming\Thunderbird\Profiles\i2blparj.default\Mail\pop.serviciodecorreo-1.es\msgFilterRules.dat,Mail/pop.serviciodecorreo-1.es,Remitente es: info@a92parts.es,yes,17,Move to folder,A92 PARTS,"OR (from,is,info@a92parts.es) OR (from,contains,a92parts.es)",2,from,contains;is
C:\Users\gines\AppData\Roaming\Thunderbird\Profiles\i2blparj.default\Mail\pop.serviciodecorreo-1.es\msgFilterRules.dat,Mail/pop.serviciodecorreo-1.es,Remitente es: arspj@ficosa.com,yes,273,Move to folder,SPJ0f44851e,"AND (from,is,arspj@ficosa.com)",1,from,is
C:\Users\gines\AppData\Roaming\Thunderbird\Profiles\i2blparj.default\Mail\pop.serviciodecorreo-1.es\msgFilterRules.dat,Mail/pop.serviciodecorreo-1.es,Remitente es: dmunilla@snovit.eu,yes,273,Copy to folder,COMERCIAL JOPE,"OR (from,is,dmunilla@snovit.eu) OR (from,is,@snovit.eu)",2,from,is
